City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,vilyuysk,63.7553,121.6247,6.72,93,17,0.08,RU,1723055244
293,kiama,-34.6833,150.8667,7.36,91,9,2.22,AU,1723055245
294,caleta de carquin,-11.0925,-77.6267,18.89,75,64,5.23,PE,1723055246
295,bengkulu,-3.8004,102.2655,23.6,86,99,1.5,ID,1723055173
296,saint-joseph,-21.3667,55.6167,19.21,70,1,2.99,RE,1723055250
297,zhezqazghan,47.7833,67.7667,28.49,30,37,3.85,KZ,1723055251
298,praia da vitoria,38.7333,-27.0667,25.98,65,20,2.79,PT,1723055252
299,moyynkum,44.2914,72.9469,29.13,21,5,3.28,KZ,1723055253
300,rheinau,48.8667,8.2,25.04,69,20,2.57,DE,1723055254
301,puerto salgar,5.463,-74.6544,33.24,51,87,0.61,CO,1723055255
302,shingu,33.7333,135.9833,24.77,85,0,2.09,JP,1723055256
303,doka,13.5167,35.7667,24.46,82,100,1.78,SD,1723055257
304,carnarvon,-24.8667,113.6333,18.55,77,17,3.97,AU,1723055258
305,lata,40.1629,-8.3327,23.37,51,3,3.07,PT,1723055260
306,magadan,59.5667,150.8,10.03,92,81,2.23,RU,1723055261
307,portimao,37.1386,-8.5378,25.65,53,0,7.65,PT,1723055262
308,puerto deseado,-47.7503,-65.8938,6.24,58,7,7.42,AR,1723055263
309,villavicencio,4.142,-73.6266,29.83,54,72,2.29,CO,1723054969
310,san-pedro,4.7485,-6.6363,24.44,77,93,3.74,CI,1723055265
311,katabu,-4.9333,122.5167,24.07,84,53,2.38,ID,1723055266
312,el galpon,-25.3807,-64.6526,17.39,42,53,3.8,AR,1723055267
313,nieuw amsterdam,5.8833,-55.0833,33.01,58,40,1.54,SR,1723055268
314,khor,47.8861,134.9464,19.9,97,100,1.96,RU,1723055269
315,urengoy,65.9667,78.3667,11.62,64,97,5.15,RU,1723055271
316,myski,53.709,87.8014,14.86,99,76,1.6,RU,1723055272
317,pakur,24.6333,87.85,27.42,90,74,3.1,IN,1723055273
318,karaton,-6.3424,106.1045,22.15,92,97,0.6,ID,1723055274
319,gaogou,34.0175,119.1886,25.63,96,91,2.61,CN,1723055275
320,zouerate,22.7187,-12.4521,41.09,13,3,2.61,MR,1723055276
321,la ronge,55.1001,-105.2842,15.14,51,75,3.6,CA,1723055183
322,aasiaat,68.7098,-52.8699,4.0,92,90,3.45,GL,1723055278
323,greymouth,-42.4667,171.2,8.22,88,100,6.4,NZ,1723055279
324,port shepstone,-30.7414,30.455,19.45,81,37,5.98,ZA,1723055280
325,broken hill,-31.95,141.4333,9.03,70,39,4.58,AU,1723055057
326,akureyri,65.6835,-18.0878,8.96,87,100,4.63,IS,1723055283
327,nirgua,10.1553,-68.5663,29.61,46,30,0.87,VE,1723055284
328,tura,25.5198,90.2201,24.6,95,69,3.11,IN,1723055285
329,tougan,13.0667,-3.0667,29.13,69,100,3.01,BF,1723055286
330,kodinsk,58.6881,99.1844,16.31,98,99,1.33,RU,1723055288
331,kotlas,61.2611,46.6556,13.63,84,100,1.57,RU,1723055289
332,songling,31.1933,120.7176,28.18,82,33,2.54,CN,1723055290
333,pointe-noire,-4.7761,11.8635,23.04,88,20,3.09,CG,1723055291
334,bijie,27.3125,105.2942,18.99,97,21,2.98,CN,1723055293
335,nova vicosa,-17.8919,-39.3719,25.11,59,67,4.05,BR,1723055295
